city_name,date,temperature_max,temperature_min,precipitation_sum,wind_speed_max,collection_time,federal_district,population,tourism_season,month,season,comfort_index,recommended_activity,tourist_season_match,special_advice,stay_home,status
Сочи,2026-02-16,16,11,5.0,27.6,2026-02-16T10:15:35,Южный,400000,Май-Октябрь,2,Зима,80,Экскурсии,Нет,ветровка,Да,Лучше дома
Казань,2026-02-16,-1,-8,13.6,24.7,2026-02-16T10:15:38,Приволжский,1250000,Май-Сентябрь,2,Зима,60,Домашний отдых,Нет,"взять зонт/дождевик; тёплая одежда, перчатки; ветровка",Да,Лучше дома
Новосибирск,2026-02-16,-5,-12,0.0,21.0,2026-02-16T10:15:41,Сибирский,1600000,Июнь-Август,2,Зима,60,Музеи(скучноо),Нет,"тёплая одежда, перчатки; ветровка",Да,Лучше дома
Москва,2026-02-16,-12,-15,3.8,23.9,2026-02-16T10:15:05,Центральный,13000000,Круглый год,2,Зима,40,Музеи(скучноо),Да,"тёплая одежда, перчатки; ветровка",Да,Лучше дома
